Industry,Location,Primary_AI_Tool,Daily_Token_Usage,Tasks_Automated_Per_Week,Experience_Years,Productivity_Gain_Percent
Healthcare,Canada,Tableau,2698.0,14.0,0.0,54.46
Retail,,Jasper,1074.0,11.0,5.0,55.51
Retail,Canada,TensorFlow,391.0,13.0,5.0,55.13
Retail,UK,Jasper,484.0,15.0,4.0,56.72
Manufacturing,UK,Tableau,14328.0,22.0,1.0,65.19
Technology,Canada,GitHub Copilot,956.0,12.0,5.0,68.73
Finance,Canada,Tableau,2104.0,11.0,5.0,59.82
Technology,Canada,GitHub Copilot,1189.0,15.0,0.0,61.43
Manufacturing,Germany,TensorFlow,788.0,7.0,5.0,44.55
Manufacturing,US,Jasper,1333.0,,5.0,54.19
Education,Germany,Notion AI,871.0,,1.0,55.92
Finance,Australia,Midjourney,2511.0,13.0,5.0,65.73
Retail,Canada,Midjourney,709.0,12.0,3.0,58.54
Finance,Germany,Tableau,2436.0,11.0,3.0,50.15
Media,US,Midjourney,331.0,15.0,1.0,58.89
Healthcare,US,ChatGPT,730.0,11.0,4.0,58.04
Manufacturing,UK,Salesforce Einstein,1195.0,14.0,3.0,60.92
Legal,US,Tableau,321.0,11.0,6.0,52.78
Technology,UK,Tableau,263.0,13.0,5.0,57.45
Healthcare,UK,Notion AI,324.0,15.0,8.0,71.72
Retail,Australia,GitHub Copilot,84.0,9.0,2.0,44.26
Manufacturing,India,ChatGPT,3940.0,17.0,0.0,51.6
Technology,Japan,ChatGPT,1535.0,14.0,5.0,65.55
Education,Australia,GitHub Copilot,344.0,13.0,1.0,56.56
,India,GitHub Copilot,1740.0,12.0,1.0,62.24
Media,Brazil,ChatGPT,251.0,17.0,6.0,65.5
Education,Japan,Salesforce Einstein,1834.0,15.0,0.0,49.31
Education,US,ChatGPT,8676.0,8.0,7.0,59.04
Education,India,Notion AI,682.0,12.0,4.0,59.35
Legal,India,GitHub Copilot,2374.0,7.0,1.0,45.36
Retail,UK,Jasper,3291.0,15.0,2.0,56.34
Legal,UK,Salesforce Einstein,2091.0,20.0,1.0,56.42
Manufacturing,Brazil,GitHub Copilot,298.0,8.0,9.0,63.96
Technology,UK,Notion AI,776.0,12.0,4.0,64.86
Education,Canada,Midjourney,83.0,12.0,2.0,47.57
Legal,US,Tableau,133.0,11.0,0.0,35.66
Legal,Canada,Notion AI,268.0,13.0,7.0,48.84
Healthcare,Australia,GitHub Copilot,2787.0,8.0,3.0,52.33
Manufacturing,US,Tableau,1448.0,5.0,6.0,50.02
Healthcare,Canada,Midjourney,1168.0,4.0,10.0,70.23
Technology,Brazil,Notion AI,438.0,11.0,0.0,57.78
Retail,US,ChatGPT,1951.0,7.0,4.0,49.9
Education,Canada,TensorFlow,1167.0,15.0,2.0,57.67
